"time in sec since January 1, 1970, 00:00:00 (UTC)",heading (degrees),roll (degrees),pitch (degrees),Gx (m/s2),Gy (m/s2),Gz (m/s2),ax (m/s2),ay (m/s2),az (m/s2),gyroscope x (deg/sec),gyroscope y (deg/sec),gyroscope z (deg/sec),magnetometer x (micro-Teslas),magnetometer y (micro-Teslas),magnetometer z (micro-Teslas),temperature celcius,quaternion x,quaternion y,quaternion z,quaternion w,heading (deg),roll (deg),pitch (deg)
1563493164.391368,360.0,-0.5625,5.9375,-0.09,-1.02,9.75,0.0,0.02,-0.16,-0.0011111111111111111,0.005555555555555556,-0.0033333333333333335,-16.75,-14.5625,-38.0625,35,-0.0521240234375,0.00494384765625,0.0,0.9986572265625,360.0,-0.5625,5.9375
1563493164.43026,360.0,-0.5625,5.9375,-0.09,-1.02,9.75,0.02,0.01,-0.12,-0.0033333333333333335,0.005555555555555556,0.0,-17.1875,-14.25,-36.875,35,-0.0521240234375,0.00494384765625,0.0,0.9986572265625,360.0,-0.5625,5.9375
1563493164.470557,0.0,-0.5625,5.9375,-0.09,-1.02,9.75,0.0,0.01,-0.14,-0.0044444444444444444,0.0022222222222222222,0.0011111111111111111,-17.1875,-14.25,-36.875,35,-0.0521240234375,0.00494384765625,0.0,0.9986572265625,0.0,-0.5625,5.9375
1563493164.509136,0.0,-0.5625,5.9375,-0.09,-1.02,9.75,0.02,0.02,-0.16,-0.0033333333333333335,0.0,0.0011111111111111111,-16.75,-14.25,-36.5,35,-0.0521240234375,0.00494384765625,0.0,0.9986572265625,0.0,-0.5625,5.9375
1563493164.548015,0.0,-0.5625,5.9375,-0.09,-1.02,9.75,0.0,0.02,-0.18,-0.0033333333333333335,0.0033333333333333335,0.0022222222222222222,-16.0625,-15.75,-36.0625,35,-0.0521240234375,0.00494384765625,0.0,0.9986572265625,0.0,-0.5625,5.9375
1563493164.586726,360.0,-0.5625,5.9375,-0.09,-1.02,9.75,-0.01,0.01,-0.14,-0.0022222222222222222,0.0,0.0,-16.0625,-14.5625,-37.75,35,-0.0521240234375,0.00494384765625,0.0,0.9986572265625,360.0,-0.5625,5.9375
1563493164.626442,360.0,-0.5625,5.9375,-0.09,-1.02,9.75,0.0,0.02,-0.16,-0.0022222222222222222,0.0044444444444444444,0.0,-16.0625,-14.5625,-37.75,35,-0.0521240234375,0.00494384765625,0.0,0.9986572265625,360.0,-0.5625,5.9375
1563493164.66121,360.0,-0.5625,5.9375,-0.09,-1.02,9.75,0.0,0.02,-0.15,-0.0022222222222222222,0.0044444444444444444,0.0,-16.375,-15.375,-36.5625,35,-0.0521240234375,0.00494384765625,0.0,0.9986572265625,360.0,-0.5625,5.9375
1563493164.70018,360.0,-0.5625,5.9375,-0.09,-1.02,9.75,-0.01,0.01,-0.18,-0.0033333333333333335,0.0044444444444444444,-0.0011111111111111111,-17.1875,-14.25,-36.5,35,-0.0521240234375,0.00494384765625,0.0,0.9986572265625,360.0,-0.5625,5.9375
1563493164.738517,360.0,-0.5625,5.9375,-0.09,-1.02,9.75,0.0,0.01,-0.14,-0.0033333333333333335,0.0022222222222222222,0.0022222222222222222,-17.1875,-15.75,-36.875,35,-0.0521240234375,0.00494384765625,0.0,0.9986572265625,360.0,-0.5625,5.9375
