"time in sec since January 1, 1970, 00:00:00 (UTC)",heading (degrees),roll (degrees),pitch (degrees),Gx (m/s2),Gy (m/s2),Gz (m/s2),ax (m/s2),ay (m/s2),az (m/s2),gyroscope x (deg/sec),gyroscope y (deg/sec),gyroscope z (deg/sec),magnetometer x (micro-Teslas),magnetometer y (micro-Teslas),magnetometer z (micro-Teslas),temperature celcius,quaternion x,quaternion y,quaternion z,quaternionw,heading (deg),roll (deg),pitch ()
1558686471.662988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0022222222222222222,0.0022222222222222222,-0.0011111111111111111,-14.5625,-6.375,-50.5625,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1558686472.187323,359.9375,-0.4375,5.875,-0.07,-1.0,9.75,0.0,0.02,-0.14,-0.0011111111111111111,0.0033333333333333335,0.0022222222222222222,-14.875,-4.5,-48.5625,34,-0.051513671875,0.00396728515625,0.0,0.9986572265625,359.9375,-0.4375,5.875
1558686472.705307,359.9375,-0.4375,5.875,-0.07,-1.0,9.75,0.0,0.02,-0.15,-0.0011111111111111111,0.0011111111111111111,-0.0011111111111111111,-16.0625,-4.5,-48.5,34,-0.051513671875,0.00396728515625,0.0,0.9986572265625,359.9375,-0.4375,5.875
1558686473.231379,359.9375,-0.4375,5.875,-0.07,-1.0,9.75,0.0,0.03,-0.14,0.0011111111111111111,-0.0011111111111111111,0.0011111111111111111,-14.5625,-4.5,-47.75,34,-0.051513671875,0.00396728515625,0.0,0.9986572265625,359.9375,-0.4375,5.875
1558686473.74697,359.9375,-0.4375,5.875,-0.07,-1.0,9.75,-0.02,0.03,-0.15,-0.0011111111111111111,-0.0011111111111111111,0.0,-16.0625,-4.5,-48.875,34,-0.051513671875,0.00396728515625,0.0,0.9986572265625,359.9375,-0.4375,5.875
1558686474.265628,359.9375,-0.4375,5.875,-0.07,-1.0,9.75,-0.01,0.0,-0.17,-0.0011111111111111111,0.0011111111111111111,0.0011111111111111111,-14.875,-4.5,-50.0625,34,-0.051513671875,0.00396728515625,0.0,0.9986572265625,359.9375,-0.4375,5.875
1558686474.789508,359.9375,-0.4375,5.875,-0.07,-1.0,9.75,-0.04,0.1,-0.21,0.0011111111111111111,0.0,-0.0033333333333333335,-14.875,-4.5,-48.0625,34,-0.051513671875,0.00396728515625,0.0,0.9986572265625,359.9375,-0.4375,5.875
1558686475.309919,359.9375,-0.4375,5.875,-0.07,-1.0,9.75,-0.02,0.04,-0.12,-0.0011111111111111111,0.0,0.0022222222222222222,-14.875,-4.5,-48.875,34,-0.051513671875,0.00396728515625,0.0,0.9986572265625,359.9375,-0.4375,5.875
1558686475.827637,357.8125,-0.625,5.8125,-0.1,-0.99,9.75,-0.22,-0.22,-0.31,-0.02666666666666667,0.015555555555555555,-0.7122222222222222,-9.75,-2.0,-28.875,34,-0.0509033203125,0.0047607421875,0.01885986328125,0.99853515625,357.8125,-0.625,5.8125
1558686476.35402,8.5,-4.6875,-5.0,-0.67,0.97,9.73,-1.03,-1.52,-3.21,0.7111111111111111,-0.7644444444444445,0.015555555555555555,-9.1875,-13.5,-33.25,34,0.0467529296875,0.03790283203125,-0.07440185546875,0.99542236328125,8.5,-4.6875,-5.0
1558686476.871417,6.1875,-14.25,0.375,-2.46,0.16,9.49,-1.82,-2.29,4.74,2.0966666666666667,0.5388888888888889,1.6555555555555554,-8.375,-1.375,-41.25,34,0.00341796875,0.12408447265625,-0.0538330078125,0.99078369140625,6.1875,-14.25,0.375
1558686477.398214,25.625,-13.3125,-17.875,-2.21,2.43,9.23,-1.09,2.8,4.59,-2.3066666666666666,-0.5444444444444444,-1.501111111111111,-6.1875,-25.5625,-37.75,34,0.174560546875,0.080810546875,-0.2176513671875,0.9569091796875,25.625,-13.3125,-17.875
1558686477.915237,6.4375,-18.5625,-15.125,-2.91,2.38,9.05,-2.11,-3.39,5.58,-0.7922222222222223,-2.1655555555555557,0.9355555555555556,2.375,-17.0,-44.0625,34,0.13543701171875,0.15533447265625,-0.055419921875,0.97698974609375,6.4375,-18.5625,-15.125
1558686478.433972,28.8125,-8.0625,11.6875,-0.68,-2.77,9.38,-0.79,4.96,-2.22,-4.665555555555556,-4.108888888888889,0.13444444444444445,0.25,-12.0625,-46.5,34,-0.10675048828125,0.080810546875,-0.24249267578125,0.96087646484375,28.8125,-8.0625,11.6875
1558686478.958059,22.0,-15.125,-53.625,-2.49,7.76,5.43,-0.4,-0.37,0.86,1.1722222222222223,-0.6355555555555555,0.05555555555555555,0.25,-39.0625,-29.75,34,0.45855712890625,0.06085205078125,-0.16949462890625,0.8702392578125,22.0,-15.125,-53.625
1558686479.478118,7.5625,1.1875,18.875,0.1,-2.89,9.36,-1.95,0.75,1.68,1.5755555555555556,0.6444444444444445,0.10222222222222223,-17.5625,12.0625,-44.5,34,-0.15673828125,0.0029296875,-0.065185546875,0.9854736328125,7.5625,1.1875,18.875
1558686480.002107,108.5625,-0.25,6.0,0.03,-0.92,9.76,2.2,1.89,0.86,0.8555555555555555,-0.2777777777777778,-0.49333333333333335,-13.75,0.5,-45.0,34,-0.02838134765625,0.04412841796875,-0.81097412109375,0.58270263671875,108.5625,-0.25,6.0
1558686480.524676,109.125,-0.25,5.5,-0.04,-0.94,9.76,-0.2,0.05,-0.18,-0.0022222222222222222,-0.0011111111111111111,0.0011111111111111111,-14.1875,-0.6875,-44.5,34,-0.02593994140625,0.04052734375,-0.81378173828125,0.5791015625,109.125,-0.25,5.5
1558686481.046643,107.375,0.1875,5.5625,0.04,-0.96,9.75,-0.14,0.02,-0.12,-0.023333333333333334,-0.017777777777777778,-0.01,-16.0,-0.25,-45.75,34,-0.03076171875,0.0382080078125,-0.80487060546875,0.5914306640625,107.375,0.1875,5.5625
