"time in sec since January 1, 1970, 00:00:00 (UTC)",heading (degrees),roll (degrees),pitch (degrees),Gx (m/s2),Gy (m/s2),Gz (m/s2),ax (m/s2),ay (m/s2),az (m/s2),gyroscope x (deg/sec),gyroscope y (deg/sec),gyroscope z (deg/sec),magnetometer x (micro-Teslas),magnetometer y (micro-Teslas),magnetometer z (micro-Teslas),temperature celcius,quaternion x,quaternion y,quaternion z,quaternion w,heading (deg),roll (deg),pitch (deg)
1563146583.54108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0022222222222222222,0.0022222222222222222,0.0011111111111111111,-14.0625,-6.75,-48.0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1563146583.580006,0.0,0.0,0.0,-0.06,-0.96,9.75,0.0,0.02,-0.23,-0.0011111111111111111,0.0022222222222222222,0.0,-14.0625,-6.75,-48.0,28,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1563146583.618721,360.0,-0.3125,5.625,-0.06,-0.96,9.75,-0.01,0.01,-0.18,-0.0011111111111111111,0.0022222222222222222,0.0011111111111111111,-13.75,-5.25,-48.375,28,-0.0491943359375,0.00311279296875,0.0,0.998779296875,360.0,-0.3125,5.625
1563146583.66071,360.0,-0.3125,5.625,-0.06,-0.96,9.75,0.0,0.02,-0.19,-0.0011111111111111111,0.0011111111111111111,0.0,-13.75,-5.25,-48.375,28,-0.0491943359375,0.00311279296875,0.0,0.998779296875,360.0,-0.3125,5.625
1563146583.702324,360.0,-0.3125,5.625,-0.06,-0.96,9.75,0.0,0.0,-0.2,-0.0022222222222222222,0.0033333333333333335,0.0,-13.75,-4.0625,-46.0625,28,-0.0491943359375,0.00311279296875,0.0,0.998779296875,360.0,-0.3125,5.625
1563146583.742764,360.0,-0.3125,5.625,-0.06,-0.96,9.75,-0.01,0.0,-0.19,-0.0022222222222222222,0.0044444444444444444,-0.0011111111111111111,-14.0625,-5.25,-45.25,28,-0.0491943359375,0.00311279296875,0.0,0.998779296875,360.0,-0.3125,5.625
1563146583.783007,360.0,-0.3125,5.625,-0.06,-0.96,9.75,0.0,0.02,-0.19,-0.0022222222222222222,0.0011111111111111111,0.0,-14.5,-5.25,-46.875,28,-0.0491943359375,0.00311279296875,0.0,0.998779296875,360.0,-0.3125,5.625
1563146583.823067,360.0,-0.3125,5.625,-0.06,-0.96,9.75,-0.01,0.02,-0.18,-0.0022222222222222222,0.0033333333333333335,0.0011111111111111111,-14.5,-5.5625,-46.0625,28,-0.0491943359375,0.00311279296875,0.0,0.998779296875,360.0,-0.3125,5.625
1563146583.865265,360.0,-0.3125,5.625,-0.06,-0.96,9.75,0.0,0.03,-0.14,0.0,0.0044444444444444444,-0.0022222222222222222,-14.875,-6.0,-46.875,28,-0.0491943359375,0.00311279296875,0.0,0.998779296875,360.0,-0.3125,5.625
1563146583.905301,360.0,-0.3125,5.625,-0.06,-0.96,9.75,0.01,0.04,-0.21,-0.0033333333333333335,0.0033333333333333335,0.0,-14.875,-6.0,-46.875,28,-0.0491943359375,0.00311279296875,0.0,0.998779296875,360.0,-0.3125,5.625
