"time in sec since January 1, 1970, 00:00:00 (UTC)",heading (degrees),roll (degrees),pitch (degrees),Gx (m/s2),Gy (m/s2),Gz (m/s2),ax (m/s2),ay (m/s2),az (m/s2),gyroscope x (deg/sec),gyroscope y (deg/sec),gyroscope z (deg/sec),magnetometer x (micro-Teslas),magnetometer y (micro-Teslas),magnetometer z (micro-Teslas),temperature celcius,quaternion x,quaternion y,quaternion z,quaternion w,heading (deg),roll (deg),pitch (deg)
1558687073.384864,0.0,-0.5625,5.875,-0.1,-1.01,9.75,0.0,0.0,-0.17,-0.0033333333333333335,0.0,0.0022222222222222222,-14.875,-8.5625,-49.75,34,-0.05157470703125,0.0052490234375,0.0,0.9986572265625,0.0,-0.5625,5.875
1558687073.908145,0.0,-0.5625,5.875,-0.1,-1.01,9.75,0.01,0.0,-0.16,-0.0033333333333333335,0.0022222222222222222,0.0011111111111111111,-14.5625,-8.25,-47.75,34,-0.05157470703125,0.0052490234375,0.0,0.9986572265625,0.0,-0.5625,5.875
1558687074.426971,0.0,-0.5625,5.875,-0.1,-1.01,9.75,0.02,0.0,-0.15,0.0011111111111111111,-0.0011111111111111111,-0.0011111111111111111,-14.5625,-7.875,-48.875,34,-0.05157470703125,0.0052490234375,0.0,0.9986572265625,0.0,-0.5625,5.875
1558687074.947621,0.0,-0.5625,5.875,-0.1,-1.01,9.75,0.07,-0.01,-0.15,-0.0011111111111111111,0.0022222222222222222,-0.0022222222222222222,-14.1875,-7.875,-48.5625,34,-0.05157470703125,0.0052490234375,0.0,0.9986572265625,0.0,-0.5625,5.875
1558687075.471395,0.125,-0.5625,5.875,-0.09,-1.01,9.75,-0.02,0.05,-0.17,0.0011111111111111111,0.0011111111111111111,-0.0022222222222222222,-9.1875,-4.5,-29.5,34,-0.0516357421875,0.00518798828125,-0.0013427734375,0.9986572265625,0.125,-0.5625,5.875
1558687075.991799,0.125,-0.5625,5.875,-0.09,-1.01,9.75,-0.01,0.01,-0.13,0.0,0.0,0.0,-9.1875,-4.875,-30.25,34,-0.0516357421875,0.00518798828125,-0.0013427734375,0.9986572265625,0.125,-0.5625,5.875
1558687076.509635,358.6875,-2.875,5.9375,-0.31,-0.94,9.75,7.17,0.89,2.33,0.7688888888888888,-1.9233333333333333,-0.2588888888888889,-4.25,-2.0,-32.5,34,-0.05224609375,0.02459716796875,0.01104736328125,0.998291015625,358.6875,-2.875,5.9375
1558687077.037526,357.6875,-4.9375,6.6875,-0.72,-1.14,9.71,-0.96,-1.99,-1.44,-0.15333333333333332,-0.5111111111111111,0.04888888888888889,-7.0625,-3.5,-33.6875,34,-0.05950927734375,0.042236328125,0.01971435546875,0.99713134765625,357.6875,-4.9375,6.6875
1558687077.557948,358.0625,-3.625,7.125,-0.52,-1.24,9.71,-0.88,-0.74,-2.17,-0.2822222222222222,-0.37,0.03111111111111111,-8.875,-3.75,-32.375,34,-0.0631103515625,0.03070068359375,0.0164794921875,0.99737548828125,358.0625,-3.625,7.125
1558687078.083377,358.3125,-0.6875,5.75,-0.12,-0.98,9.75,0.15,-0.11,-0.19,0.0033333333333333335,-0.0022222222222222222,-0.14777777777777779,-11.0625,-5.25,-34.5625,34,-0.0504150390625,0.00567626953125,0.0142822265625,0.99859619140625,358.3125,-0.6875,5.75
1558687078.603075,358.5625,-0.625,5.75,-0.11,-0.99,9.75,0.04,0.0,-0.15,-0.0033333333333333335,0.0011111111111111111,-0.0011111111111111111,-11.0,-4.375,-34.0,34,-0.0506591796875,0.00531005859375,0.0123291015625,0.99859619140625,358.5625,-0.625,5.75
1558687079.120678,358.5625,-0.625,5.75,-0.11,-0.99,9.75,0.03,0.0,-0.16,-0.0011111111111111111,-0.0022222222222222222,0.0011111111111111111,-11.375,-4.75,-35.25,34,-0.0506591796875,0.0052490234375,0.0123291015625,0.99859619140625,358.5625,-0.625,5.75
