"time in sec since January 1, 1970, 00:00:00 (UTC)",heading (degrees),roll (degrees),pitch (degrees),Gx (m/s2),Gy (m/s2),Gz (m/s2),ax (m/s2),ay (m/s2),az (m/s2),gyroscope x (deg/sec),gyroscope y (deg/sec),gyroscope z (deg/sec),magnetometer x (micro-Teslas),magnetometer y (micro-Teslas),magnetometer z (micro-Teslas),temperature celcius,quaternion x,quaternion y,quaternion z,quaternionw,heading (deg),roll (deg),pitch ()
1558681389.386384,360.0,-0.1875,6.1875,-0.03,-1.06,9.74,0.0,0.03,-0.14,-0.0044444444444444444,0.0033333333333333335,-0.0022222222222222222,-13.0625,1.0625,-50.0,32,-0.05413818359375,0.0018310546875,0.0,0.99853515625,360.0,-0.1875,6.1875
1558681389.905591,359.9375,-0.1875,6.1875,-0.03,-1.05,9.74,-0.02,0.01,-0.15,-0.0011111111111111111,0.0011111111111111111,0.0,-11.875,0.6875,-48.0,32,-0.05413818359375,0.0018310546875,0.0,0.99853515625,359.9375,-0.1875,6.1875
1558681390.429333,359.9375,-0.1875,6.1875,-0.03,-1.05,9.74,-0.02,0.02,-0.16,-0.0011111111111111111,0.0022222222222222222,0.0,-11.5625,0.6875,-48.75,32,-0.0540771484375,0.0018310546875,0.0,0.99853515625,359.9375,-0.1875,6.1875
1558681390.948503,359.9375,-0.1875,6.1875,-0.03,-1.05,9.74,-0.02,0.03,-0.14,0.0011111111111111111,0.0,0.0,-12.25,1.0625,-48.375,32,-0.0540771484375,0.0018310546875,0.0,0.99853515625,359.9375,-0.1875,6.1875
1558681391.466025,359.9375,-0.1875,6.1875,-0.03,-1.05,9.74,0.0,0.02,-0.17,-0.0011111111111111111,0.0011111111111111111,-0.0022222222222222222,-11.1875,1.375,-48.0,32,-0.0540771484375,0.0018310546875,0.0,0.99853515625,359.9375,-0.1875,6.1875
1558681391.992965,359.9375,-0.1875,6.1875,-0.03,-1.05,9.74,0.0,0.03,-0.13,0.0,-0.0011111111111111111,0.0,-12.25,0.6875,-48.375,32,-0.0540771484375,0.0018310546875,0.0,0.99853515625,359.9375,-0.1875,6.1875
1558681392.510571,0.0,-0.1875,6.1875,-0.03,-1.05,9.74,0.1,0.0,-0.18,-0.011111111111111112,-0.013333333333333334,-0.0033333333333333335,-11.5625,0.6875,-48.375,32,-0.05401611328125,0.00177001953125,-0.0001220703125,0.99853515625,0.0,-0.1875,6.1875
1558681393.030451,359.9375,8.8125,12.1875,1.7,-2.16,9.41,0.55,-0.23,0.12,-1.3622222222222222,-2.0766666666666667,-0.25666666666666665,-11.0625,3.375,-27.1875,32,-0.105224609375,-0.07781982421875,0.00018310546875,0.99139404296875,359.9375,8.8125,12.1875
1558681393.553536,23.875,4.3125,9.4375,0.33,-1.41,9.69,-2.8,3.42,2.05,0.7888888888888889,2.037777777777778,-0.5055555555555555,-28.75,8.25,-34.6875,32,-0.0882568359375,-0.02001953125,-0.2061767578125,0.97430419921875,23.875,4.3125,9.4375
1558681394.073109,8.625,-24.625,-44.1875,-3.93,6.59,6.1,-1.14,0.73,2.71,2.4722222222222223,0.18222222222222223,1.2677777777777777,8.5,-30.375,-37.25,32,0.37701416015625,0.2000732421875,-0.06524658203125,0.9019775390625,8.625,-24.625,-44.1875
1558681394.596253,46.25,3.875,-60.125,0.46,8.32,5.16,-3.9,-1.33,-1.29,-1.9177777777777778,-2.238888888888889,-2.5744444444444445,-17.5625,-42.75,-15.375,32,0.4447021484375,-0.2325439453125,-0.3397216796875,0.79547119140625,46.25,3.875,-60.125
1558681395.11746,158.8125,0.875,9.1875,0.04,-1.86,9.62,-2.6,2.48,-3.75,-1.6977777777777778,0.06111111111111111,2.798888888888889,-9.5,-10.5625,-45.875,32,-0.0225830078125,0.07757568359375,-0.97979736328125,0.182861328125,158.8125,0.875,9.1875
1558681395.637746,114.6875,-6.875,-44.375,-0.74,6.96,6.86,-3.03,-2.17,1.61,1.2055555555555555,-3.3922222222222222,-0.024444444444444446,-3.6875,-31.0625,-35.0625,32,0.257568359375,-0.28143310546875,-0.77850341796875,0.4984130859375,114.6875,-6.875,-44.375
1558681396.161555,188.75,-6.4375,-46.75,-1.11,6.86,6.91,0.74,2.05,0.56,-1.5633333333333332,-0.7933333333333333,-0.8911111111111111,3.5,-42.1875,-14.0625,32,0.0308837890625,-0.3984375,-0.91400146484375,-0.0701904296875,188.75,-6.4375,-46.75
1558681396.682007,152.0625,-5.5625,-6.1875,-1.28,1.32,9.63,-2.35,0.56,-3.19,1.3,1.8444444444444446,1.1744444444444444,-7.25,-18.5,-42.0625,32,0.0604248046875,-0.04046630859375,-0.96783447265625,0.24072265625,152.0625,-5.5625,-6.1875
1558681397.200016,148.125,12.6875,-54.375,2.25,7.79,5.5,-4.13,-3.08,-1.66,0.05555555555555555,-2.4922222222222223,-0.49333333333333335,-18.1875,-41.0625,-17.75,32,0.00323486328125,-0.465087890625,-0.85137939453125,0.24261474609375,148.125,12.6875,-54.375
1558681397.726322,194.3125,2.875,-38.125,0.75,5.58,8.02,2.02,2.95,0.04,-3.077777777777778,-1.4544444444444444,0.33555555555555555,2.5625,-36.375,-20.875,32,-0.06756591796875,-0.320556640625,-0.93743896484375,-0.11785888671875,194.3125,2.875,-38.125
1558681398.244105,130.25,-17.75,8.4375,-3.13,-1.02,9.23,-3.72,-0.55,0.8,2.9366666666666665,1.1444444444444444,3.1233333333333335,-2.0,4.25,-46.6875,32,0.1107177734375,0.12994384765625,-0.8939208984375,0.4144287109375,130.25,-17.75,8.4375
