"time in sec since January 1, 1970, 00:00:00 (UTC)",heading (degrees),roll (degrees),pitch (degrees),Gx (m/s2),Gy (m/s2),Gz (m/s2),ax (m/s2),ay (m/s2),az (m/s2),gyroscope x (deg/sec),gyroscope y (deg/sec),gyroscope z (deg/sec),magnetometer x (micro-Teslas),magnetometer y (micro-Teslas),magnetometer z (micro-Teslas),temperature celcius,quaternion x,quaternion y,quaternion z,quaternion w,heading (deg),roll (deg),pitch (deg)
1558687191.048448,0.0,-0.5,5.875,-0.08,-1.01,9.75,0.0,0.01,-0.17,-0.0044444444444444444,0.0033333333333333335,0.0022222222222222222,-14.875,-7.0625,-50.875,34,-0.0516357421875,0.00445556640625,0.0,0.9986572265625,0.0,-0.5,5.875
1558687191.087444,360.0,-0.5,5.875,-0.08,-1.01,9.75,0.0,0.02,-0.14,-0.0033333333333333335,0.0033333333333333335,0.0011111111111111111,-14.875,-7.0625,-50.875,34,-0.0516357421875,0.00445556640625,0.0,0.9986572265625,360.0,-0.5,5.875
1558687191.125898,360.0,-0.5,5.875,-0.08,-1.01,9.75,0.0,0.02,-0.13,-0.0022222222222222222,0.0044444444444444444,-0.0011111111111111111,-14.1875,-7.875,-47.25,34,-0.0516357421875,0.00445556640625,0.0,0.9986572265625,360.0,-0.5,5.875
1558687191.16463,360.0,-0.5,5.875,-0.08,-1.01,9.75,0.01,0.02,-0.18,-0.0033333333333333335,0.0044444444444444444,0.0,-14.5625,-7.875,-48.0,34,-0.0516357421875,0.00445556640625,0.0,0.9986572265625,360.0,-0.5,5.875
1558687191.203391,360.0,-0.5,5.875,-0.08,-1.01,9.75,0.0,0.01,-0.14,-0.0033333333333333335,0.0011111111111111111,0.0,-15.6875,-7.5,-48.0,34,-0.0516357421875,0.00445556640625,0.0,0.9986572265625,360.0,-0.5,5.875
1558687191.243545,360.0,-0.5,5.875,-0.08,-1.01,9.75,0.0,0.01,-0.19,-0.0033333333333333335,-0.0022222222222222222,-0.0011111111111111111,-15.6875,-7.5,-48.0,34,-0.0516357421875,0.00445556640625,0.0,0.9986572265625,360.0,-0.5,5.875
1558687191.278235,360.0,-0.5,5.875,-0.08,-1.01,9.75,0.0,0.02,-0.15,-0.0022222222222222222,0.006666666666666667,0.0,-14.5625,-8.25,-47.5625,34,-0.0516357421875,0.00445556640625,0.0,0.9986572265625,360.0,-0.5,5.875
1558687191.317156,360.0,-0.5,5.875,-0.08,-1.01,9.75,0.0,0.0,-0.18,-0.0033333333333333335,0.0033333333333333335,0.0011111111111111111,-14.875,-7.875,-48.0,34,-0.0516357421875,0.00445556640625,0.0,0.9986572265625,360.0,-0.5,5.875
1558687191.355308,360.0,-0.5,5.875,-0.08,-1.01,9.75,0.0,0.01,-0.15,-0.0022222222222222222,0.0022222222222222222,-0.0022222222222222222,-15.25,-8.5625,-48.375,34,-0.0516357421875,0.00445556640625,0.0,0.9986572265625,360.0,-0.5,5.875
1558687191.395406,360.0,-0.5,5.875,-0.08,-1.01,9.75,0.01,0.0,-0.14,-0.0022222222222222222,0.0033333333333333335,0.0011111111111111111,-15.25,-8.5625,-48.375,34,-0.0516357421875,0.00445556640625,0.0,0.9986572265625,360.0,-0.5,5.875
1558687191.436678,360.0,-0.5,5.875,-0.08,-1.01,9.75,-0.02,0.01,-0.19,-0.0011111111111111111,0.0033333333333333335,-0.0011111111111111111,-14.1875,-7.5,-48.0625,34,-0.0516357421875,0.00445556640625,0.0,0.9986572265625,360.0,-0.5,5.875
1558687191.47579,360.0,-0.5,5.875,-0.08,-1.01,9.75,0.0,0.02,-0.18,-0.0022222222222222222,-0.0011111111111111111,0.0011111111111111111,-14.1875,-7.875,-47.5625,34,-0.0516357421875,0.00445556640625,0.0,0.9986572265625,360.0,-0.5,5.875
1558687191.51435,359.9375,-0.5,5.875,-0.08,-1.01,9.75,0.01,0.01,-0.15,-0.0011111111111111111,0.0022222222222222222,0.0011111111111111111,-14.875,-7.875,-47.25,34,-0.0516357421875,0.00445556640625,0.0,0.9986572265625,359.9375,-0.5,5.875
1558687191.554581,359.9375,-0.5,5.875,-0.08,-1.01,9.75,0.0,0.0,-0.15,-0.0011111111111111111,0.0033333333333333335,0.0011111111111111111,-14.875,-7.875,-48.0625,34,-0.0516357421875,0.00445556640625,0.0,0.9986572265625,359.9375,-0.5,5.875
1558687191.596279,359.9375,-0.5,5.875,-0.08,-1.01,9.75,0.0,0.02,-0.14,-0.0033333333333333335,0.0011111111111111111,0.0,-14.875,-7.875,-48.0625,34,-0.0516357421875,0.00445556640625,0.0,0.9986572265625,359.9375,-0.5,5.875
1558687191.637234,359.9375,-0.5,5.875,-0.08,-1.01,9.75,-0.01,0.01,-0.15,0.0011111111111111111,0.0022222222222222222,0.0,-14.1875,-7.875,-46.375,34,-0.0516357421875,0.00445556640625,0.0,0.9986572265625,359.9375,-0.5,5.875
1558687191.674952,359.9375,-0.5,5.875,-0.08,-1.01,9.75,0.0,0.02,-0.16,0.0011111111111111111,0.0,0.0,-14.1875,-7.0625,-48.375,34,-0.0516357421875,0.00445556640625,0.0,0.9986572265625,359.9375,-0.5,5.875
1558687191.709528,359.9375,-0.5,5.875,-0.08,-1.01,9.75,-0.01,0.01,-0.16,-0.0022222222222222222,0.0011111111111111111,-0.0011111111111111111,-14.5625,-7.5,-47.5625,34,-0.0516357421875,0.00445556640625,0.0,0.9986572265625,359.9375,-0.5,5.875
1558687191.755479,359.9375,-0.5,5.875,-0.08,-1.01,9.75,0.0,0.02,-0.16,-0.0033333333333333335,0.0011111111111111111,0.0,-15.6875,-7.0625,-47.5625,34,-0.0516357421875,0.00445556640625,0.0,0.9986572265625,359.9375,-0.5,5.875
1558687191.79908,359.9375,-0.5,5.875,-0.08,-1.01,9.75,0.0,0.03,-0.13,-0.0011111111111111111,0.0,-0.0011111111111111111,-15.6875,-7.0625,-47.5625,34,-0.0516357421875,0.00445556640625,0.0,0.9986572265625,359.9375,-0.5,5.875
1558687191.845938,359.9375,-0.5,5.875,-0.08,-1.01,9.75,0.0,0.01,-0.17,-0.0011111111111111111,-0.0011111111111111111,-0.0022222222222222222,-13.75,-8.5625,-47.25,34,-0.0516357421875,0.00445556640625,0.0,0.9986572265625,359.9375,-0.5,5.875
1558687191.888477,359.9375,-0.5,5.875,-0.08,-1.01,9.75,-0.01,0.01,-0.16,0.0011111111111111111,0.0022222222222222222,0.0,-13.75,-8.25,-46.75,34,-0.0516357421875,0.00445556640625,0.0,0.9986572265625,359.9375,-0.5,5.875
