"time in sec since January 1, 1970, 00:00:00 (UTC)",heading (degrees),roll (degrees),pitch (degrees),Gx (m/s2),Gy (m/s2),Gz (m/s2),ax (m/s2),ay (m/s2),az (m/s2),gyroscope x (deg/sec),gyroscope y (deg/sec),gyroscope z (deg/sec),magnetometer x (micro-Teslas),magnetometer y (micro-Teslas),magnetometer z (micro-Teslas),temperature celcius,quaternion x,quaternion y,quaternion z,quaternion w,heading (deg),roll (deg),pitch (deg)
1563146621.675362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011111111111111111,0.0022222222222222222,-0.0033333333333333335,-14.5,-7.5,-49.25,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1563146621.714466,0.0,0.0,0.0,-0.06,-0.96,9.75,0.0,0.01,-0.18,-0.0022222222222222222,0.0022222222222222222,0.0011111111111111111,-14.5,-7.5,-49.25,28,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1563146621.753294,0.0,-0.375,5.625,-0.06,-0.96,9.75,0.0,0.01,-0.16,-0.0022222222222222222,0.0,0.0011111111111111111,-15.25,-6.0,-48.5,28,-0.04937744140625,0.0032958984375,0.0,0.998779296875,0.0,-0.375,5.625
1563146621.795314,0.0,-0.375,5.625,-0.06,-0.96,9.75,0.01,0.02,-0.15,0.0,0.0033333333333333335,0.0,-15.25,-6.0,-48.5,28,-0.04937744140625,0.0032958984375,0.0,0.998779296875,0.0,-0.375,5.625
1563146621.834927,0.0,-0.375,5.625,-0.06,-0.96,9.75,0.0,0.02,-0.17,-0.0022222222222222222,0.0033333333333333335,-0.0011111111111111111,-14.875,-6.375,-46.5,28,-0.04937744140625,0.0032958984375,0.0,0.998779296875,0.0,-0.375,5.625
1563146621.873752,0.0,-0.375,5.625,-0.06,-0.96,9.75,0.01,0.0,-0.19,-0.0022222222222222222,0.0011111111111111111,0.0,-14.0625,-5.25,-47.25,28,-0.04937744140625,0.0032958984375,0.0,0.998779296875,0.0,-0.375,5.625
1563146621.908022,0.0,-0.375,5.625,-0.06,-0.96,9.75,0.0,0.0,-0.16,-0.0022222222222222222,0.0022222222222222222,0.0011111111111111111,-14.5,-6.0,-46.875,28,-0.04937744140625,0.0032958984375,0.0,0.998779296875,0.0,-0.375,5.625
1563146621.948449,360.0,-0.375,5.625,-0.06,-0.96,9.75,-0.01,0.0,-0.17,0.0,-0.0022222222222222222,0.0022222222222222222,-14.0625,-5.25,-47.25,28,-0.04937744140625,0.0032958984375,0.0,0.998779296875,360.0,-0.375,5.625
1563146621.989524,360.0,-0.375,5.625,-0.06,-0.96,9.75,-0.01,0.0,-0.16,-0.0011111111111111111,0.0033333333333333335,0.0,-14.0625,-5.25,-47.25,28,-0.04937744140625,0.0032958984375,0.0,0.998779296875,360.0,-0.375,5.625
1563146622.027524,360.0,-0.375,5.625,-0.06,-0.96,9.75,0.0,0.02,-0.17,-0.0044444444444444444,0.0022222222222222222,-0.0011111111111111111,-13.75,-5.5625,-46.875,28,-0.04937744140625,0.0032958984375,0.0,0.998779296875,360.0,-0.375,5.625
1563146622.066041,360.0,-0.375,5.625,-0.06,-0.96,9.75,0.0,0.03,-0.19,-0.0011111111111111111,0.0011111111111111111,-0.0011111111111111111,-14.5,-6.0,-46.5625,28,-0.04937744140625,0.0032958984375,0.0,0.998779296875,360.0,-0.375,5.625
1563146622.104348,360.0,-0.375,5.625,-0.06,-0.96,9.75,0.0,0.0,-0.17,-0.0011111111111111111,0.0022222222222222222,0.0,-13.75,-5.5625,-46.5625,28,-0.04937744140625,0.0032958984375,0.0,0.998779296875,360.0,-0.375,5.625
1563146622.146054,360.0,-0.375,5.625,-0.06,-0.96,9.75,0.0,0.02,-0.15,-0.0011111111111111111,-0.0011111111111111111,0.0011111111111111111,-13.75,-5.5625,-46.5625,28,-0.04937744140625,0.0032958984375,0.0,0.998779296875,360.0,-0.375,5.625
1563146622.187636,360.0,-0.375,5.625,-0.06,-0.96,9.75,0.01,0.01,-0.17,0.0,0.0011111111111111111,0.0033333333333333335,-14.0625,-5.25,-46.5625,28,-0.04937744140625,0.0032958984375,0.0,0.998779296875,360.0,-0.375,5.625
