"time in sec since January 1, 1970, 00:00:00 (UTC)",heading (degrees),roll (degrees),pitch (degrees),Gx (m/s2),Gy (m/s2),Gz (m/s2),ax (m/s2),ay (m/s2),az (m/s2),gyroscope x (deg/sec),gyroscope y (deg/sec),gyroscope z (deg/sec),magnetometer x (micro-Teslas),magnetometer y (micro-Teslas),magnetometer z (micro-Teslas),temperature celcius,quaternion x,quaternion y,quaternion z,quaternion w,heading (deg),roll (deg),pitch (deg)
1563146665.444529,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.01,0.02,-0.15,0.0,0.0022222222222222222,-0.0011111111111111111,-13.75,-5.25,-46.25,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146665.486677,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.0,0.02,-0.18,0.0011111111111111111,0.0022222222222222222,-0.0022222222222222222,-14.0625,-5.25,-46.25,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146665.524683,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.0,0.02,-0.16,-0.0011111111111111111,0.0022222222222222222,0.0,-15.25,-5.25,-46.6875,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146665.571369,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.01,0.02,-0.16,0.0011111111111111111,0.0,-0.0011111111111111111,-14.0625,-5.5625,-46.6875,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146665.615084,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.0,0.02,-0.15,0.0,0.0,0.0,-14.0625,-5.5625,-46.6875,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146665.661809,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.0,0.03,-0.16,0.0011111111111111111,0.0022222222222222222,-0.0033333333333333335,-14.0625,-6.0,-44.75,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146665.704368,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.0,0.04,-0.17,0.0011111111111111111,0.0044444444444444444,-0.0044444444444444444,-14.5,-5.5625,-45.0625,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146665.743526,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.01,0.0,-0.18,-0.0022222222222222222,0.0022222222222222222,-0.0011111111111111111,-13.75,-5.25,-46.25,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146665.781903,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.0,0.03,-0.16,0.0,0.0033333333333333335,0.0011111111111111111,-14.0625,-6.0,-45.0625,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146665.821941,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.0,0.01,-0.16,0.0011111111111111111,0.0011111111111111111,0.0,-14.5,-6.0,-47.0625,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146665.863856,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.01,0.01,-0.14,0.0011111111111111111,0.0,0.0022222222222222222,-14.5,-6.0,-47.0625,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146665.904794,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.0,0.01,-0.19,-0.0011111111111111111,0.0033333333333333335,-0.0011111111111111111,-14.875,-4.875,-46.6875,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146665.944266,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.01,0.03,-0.16,0.0011111111111111111,-0.0022222222222222222,0.0022222222222222222,-15.5625,-6.375,-45.5,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146665.982735,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.0,0.01,-0.16,-0.0011111111111111111,0.0022222222222222222,-0.0011111111111111111,-16.0,-5.5625,-46.6875,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146666.022819,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.0,0.03,-0.16,0.0,0.0011111111111111111,0.0,-15.25,-5.5625,-46.25,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146666.06486,0.0,-0.375,5.6875,-0.06,-0.97,9.75,-0.02,0.01,-0.19,0.0,-0.0011111111111111111,0.0033333333333333335,-15.25,-5.5625,-46.25,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146666.105663,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.01,0.04,-0.16,0.0,0.0022222222222222222,-0.0033333333333333335,-13.75,-6.0,-46.25,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146666.145082,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.0,0.03,-0.17,-0.0011111111111111111,-0.0011111111111111111,0.0022222222222222222,-14.875,-5.25,-46.25,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146666.183554,0.0,-0.375,5.6875,-0.06,-0.97,9.75,-0.01,0.01,-0.18,0.0011111111111111111,0.0,0.0011111111111111111,-14.0625,-5.25,-47.0625,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146666.223476,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.0,0.03,-0.17,0.0,-0.0011111111111111111,-0.0011111111111111111,-14.875,-5.25,-45.5,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146666.265572,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.01,0.02,-0.15,0.0011111111111111111,0.0,-0.0011111111111111111,-14.875,-5.25,-45.5,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146666.307084,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.01,0.02,-0.18,0.0,-0.0022222222222222222,0.0011111111111111111,-13.75,-6.375,-46.25,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146666.345945,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.0,0.02,-0.17,-0.0011111111111111111,0.0022222222222222222,0.0,-14.0625,-6.375,-46.25,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146666.38433,0.0,-0.375,5.6875,-0.06,-0.97,9.75,-0.01,0.0,-0.16,0.0022222222222222222,0.0,0.0,-14.0625,-5.5625,-45.5,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146666.424364,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.0,0.02,-0.17,-0.0011111111111111111,-0.0011111111111111111,0.0011111111111111111,-13.375,-6.375,-47.0625,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146666.466241,0.0,-0.375,5.6875,-0.06,-0.97,9.75,-0.01,0.01,-0.19,0.0,0.0022222222222222222,0.0,-13.375,-6.375,-47.0625,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146666.507251,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.0,0.01,-0.16,-0.0011111111111111111,0.0011111111111111111,0.0011111111111111111,-13.375,-6.0,-45.0625,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146666.546721,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.0,0.01,-0.19,0.0011111111111111111,0.0,0.0,-13.0,-5.25,-45.875,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146666.585089,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.0,0.01,-0.19,-0.0011111111111111111,0.0011111111111111111,0.0,-14.0625,-6.0,-47.5,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146666.625177,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.0,0.01,-0.17,0.0,0.0011111111111111111,0.0011111111111111111,-15.25,-5.25,-46.25,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146666.667103,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.0,0.02,-0.15,-0.0011111111111111111,0.0,-0.0011111111111111111,-15.25,-5.25,-46.25,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146666.708123,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.0,0.02,-0.19,0.0,0.0011111111111111111,0.0011111111111111111,-14.5,-6.0,-46.25,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146666.747563,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.0,0.03,-0.19,-0.0022222222222222222,-0.0022222222222222222,0.0022222222222222222,-13.75,-5.5625,-45.5,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146666.785923,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.0,0.0,-0.16,0.0022222222222222222,0.0,0.0022222222222222222,-14.875,-5.5625,-46.6875,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146666.825937,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.0,0.03,-0.16,0.0,-0.0022222222222222222,0.0011111111111111111,-13.75,-4.875,-46.6875,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146666.867951,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.02,0.02,-0.18,0.0,0.0011111111111111111,0.0022222222222222222,-13.75,-4.875,-46.6875,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146666.908931,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.0,0.01,-0.16,-0.0011111111111111111,-0.0033333333333333335,0.0022222222222222222,-13.0,-5.25,-45.875,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146666.948484,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.0,0.0,-0.16,-0.0011111111111111111,0.0033333333333333335,-0.0011111111111111111,-13.75,-5.25,-47.0625,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146666.986812,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.0,0.0,-0.15,0.0,0.0,0.0011111111111111111,-14.0625,-6.0,-46.25,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146667.02678,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.01,0.02,-0.18,0.0,-0.0022222222222222222,0.0022222222222222222,-14.5,-4.875,-45.875,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146667.066967,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.0,0.01,-0.16,0.0011111111111111111,0.0011111111111111111,0.0,-14.5,-4.875,-45.875,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146667.103,0.0,-0.375,5.6875,-0.06,-0.97,9.75,-0.01,0.01,-0.16,0.0011111111111111111,0.0022222222222222222,0.0,-13.75,-5.5625,-45.5,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146667.140883,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.0,0.02,-0.19,-0.0011111111111111111,0.0,0.0011111111111111111,-14.5,-6.0,-46.6875,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146667.179299,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.02,0.01,-0.15,0.0011111111111111111,0.0,-0.0011111111111111111,-14.0625,-5.25,-45.875,28,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
